id,name,text,trans
0000000000000,{user},佑芽さん。そろそろ握手会が\nはじまりますが、準備はいいですか？,佑芽同学。握手会马上就要开始了\n你准备好了吗？
0000000000000,佑芽,はいっ！　プロデューサーさん、\nちょっと手を貸してください！,嗯！制作人先生\n请稍微帮我一下！
0000000000000,{user},練習ですか？　では――,是要练习吗？那么——
select,,もう少し、\n力を抜いて,再稍微\n放松一点力道
select,,なにかひと言\nください,请对我说\n一句话吧
select,,気持ちを込めて\nください,请带着感情\n来握手
0000000000000,佑芽,え！　力、強かったですか？\n優しく握ったつもりだったのになぁ……,诶！我、我力气太大了吗？\n明明想着要温柔握手的说……
0000000000000,{user},練習の成果もあり、\nファン対応は良い感じだったな……！,多亏了之前的练习\n粉丝应对做得不错呢……！
0000000000000,佑芽,来てくれてありがとうございます！\nこれからも応援、お願いします！,感谢您今天能来！\n今后也请继续支持我！
0000000000000,{user},練習の成果もあり、\nファン対応は良い感じだったな……！,多亏了之前的练习\n粉丝应对做得不错呢……！
0000000000000,佑芽,気持ち……ぎゅ～～～～～～っと！\nわっ、力入れすぎちゃいました……！,把我的心情……紧紧～～～～～传递！\n哇啊、不小心太用力了……！
0000000000000,{user},練習の成果もあり、\nファン対応は良い感じだったな……！,多亏了之前的练习\n粉丝应对做得不错呢……！
info,adv_pevent_002_hume_sales_4-003-02.txt,,
译者,Pro/deepseek-ai/DeepSeek-V3,,
