id,name,text,trans
0000000000000,手毬,プロデューサー、相談があるんだけど。,制作人，有件事想和你商量。
0000000000000,手毬,最近、すごく調子がよくて。\nレッスンを増やしてもいい？,最近状态特别好。\n可以增加训练课程吗？
select,,こちらも試して\nみてください,请也试试\n这个方案
select,,丁度、提案しよう\nと思っていました,正好我也准备\n提出这个建议
0000000000000,手毬,わかりました。,明白了。
0000000000000,手毬,トップアイドルになるために\n役立つのなら、ぜひ。,如果对成为顶级偶像有帮助的话，\n请务必安排。
0000000000000,手毬,話を戻すけど、\nレッスンを増やしてもいいですよね？,回到刚才的话题，\n增加训练课程是可以的吧？
0000000000000,手毬,さすが私のプロデューサー……\n話がわかるね。,不愧是我的制作人……\n很懂我的想法呢。
0000000000000,手毬,もっともっと頑張って……\n新しいスキルを身につけてみせます。,我会更加更加努力……\n一定要掌握新技能给你看。
info,adv_pstory_001_ttmr_opening-true-02.txt,,
译者,Pro/deepseek-ai/DeepSeek-V3,,
