id,name,text,trans
0000000000000,{user},さて、他の参加者と脱出ゲームです。\n映像で残るので頑張ってください。,接下来要和其他参与者一起玩逃脱游戏了。\n会被录像记录下来，请大家加油哦。
0000000000000,千奈,先生、おわかりでしょう！\nぜんぜんできる気がしませんわ！,老师您应该明白的吧！\n我完全没信心能做好这件事啊！
0000000000000,千奈,は、始まってしまいましたわ……\n先生が言ったことを思い出して……,开、开始了……\n我要回忆起老师说过的话……
select,,できることを\n精一杯,全力以赴\n做好能做的事
select,,なんでも\n口に出して,想到什么\n就说出来
select,,みんなと\n協力して,和大家\n齐心协力
0000000000000,千奈,わ、わたくしが道具を\n取ってきますわ～～～～っ！,我、我去拿道具\n来～～～～！
0000000000000,{user},初対面の相手ともすぐ友達に\nなれるのは、彼女の才能だな。,即使是初次见面的人也能立刻成为朋友，\n这就是她的天赋啊。
0000000000000,千奈,ええと、にじ、なないろ……\nレ、レインボーですわっ！,那个，二色、七色……\n是、是彩虹啊！
0000000000000,{user},初対面の相手ともすぐ友達に\nなれるのは、彼女の才能だな。,即使是初次见面的人也能立刻成为朋友，\n这就是她的天赋啊。
0000000000000,千奈,み、みなさんっ……\nお助けください～～～～っ！,大、大家……\n快来帮帮我～～～～！
0000000000000,{user},初対面の相手ともすぐ友達に\nなれるのは、彼女の才能だな。,即使是初次见面的人也能立刻成为朋友，\n这就是她的天赋啊。
info,adv_pevent_002_kcna_sales_1-006-02.txt,,
译者,Pro/deepseek-ai/DeepSeek-V3,,
