id,name,text,trans
0000000000000,星南,さて、完勝したわね。,好了，我们大获全胜了呢。
0000000000000,{user},本当に一切の容赦が\nありませんでしたね……,真是完全没有\n手下留情呢……
0000000000000,{user},相手のファンが呆然としていましたよ。,对方的粉丝都看呆了呢。
0000000000000,星南,あ、あなたが遠慮なく蹴散らせって\n言ったのよ！,啊！不是你说要毫不留情地\n击溃他们的吗！
0000000000000,{user},もちろん、そうでなければ\nいけなかった。お見事です、星南さん。,当然，不这样可不行。\n干得漂亮，星南同学。
0000000000000,星南,もう……ランキングの推移はどう？,真是的……排名变化如何？
0000000000000,{user},順調に上がっています。,正在稳步上升中。
0000000000000,星南,なら、よかったわ。いまの私は、,那就好。毕竟现在的我——
0000000000000,星南,『知名度がもっとも低い\nトップアイドル』だもの。,可是“知名度最低的\n顶级偶像”呢。
0000000000000,星南,学園外で新規ファンを\n獲得していかなければね。,必须要在校外\n争取更多新粉丝才行。
0000000000000,星南,学園単位での\nランキング推移はどう？,各大学园的\n排名情况呢？
0000000000000,{user},初星学園がトップで、\n極月学園は3位ですね。,初星学园位居榜首，\n极月学园排在第三位。
0000000000000,星南,あら、意外ね。\n実力者ぞろいのはずなのに。,哎呀，真意外。\n他们明明高手云集的说。
0000000000000,{user},『N.I.A』に参加している\nもうひとりのトップアイドルが……,因为参加『N.I.A』的\n另一位顶级偶像……
0000000000000,{user},相手を選ばず、\n味方ごと蹴散らしているせいです。,不分敌我\n把所有人都击溃了。
0000000000000,星南,なんであの人、\nそういうことをするのかしら……,为什么那个人\n要做这种事啊……
info,adv_pstory_002_jsna_after-audition-a-normal-02.txt,,
译者,Pro/deepseek-ai/DeepSeek-V3,,
