id,name,text,trans
message,{user},お疲れ様でした。秦谷さんは……,辛苦了。秦谷小姐你……
message,{user},合格です。最高の結果でしたね。,合格了。真是最棒的结果呢。
message,美鈴,とても嬉しいです。,非常开心。
message,美鈴,プロデューサーは、いかがですか？,制作人感觉如何呢？
choice,,とても嬉しいです,非常开心
choice,,信じて\nいましたから,因为一直\n相信着您
choice,,安心しきって\nいます,所以完全\n不担心
message,美鈴,まあ……月並みなご感想。,哎呀……真是标准的回答呢。
message,{user},お互い様でしょう。それと……\n明快と言ってください。,"彼此彼此吧。还有就是……\n请用""明朗""来形容。"
message,美鈴,ええ……ふふ、そうですね。,好的……呵呵，说得对。
message,美鈴,この気持ちは……\nとても明快で、あたたかい。,这份心情……\n非常明朗又温暖。
message,美鈴,素敵なライブができそうです。,看来能呈现精彩的演出呢。
message,{user},秦谷さんの実力なら、\n誰にも負けはしないと。,以秦谷小姐的实力，\n绝不会输给任何人。
message,美鈴,まあ、では……,那么……
message,美鈴,勝ち続けて\n証明しなくてはいけませんね。,就必须用连胜\n来证明这一点了呢。
message,美鈴,わたしこそが、\nトップアイドルなのだと。,证明我才是\n顶级偶像这件事。
message,{user},あまりにも担当アイドルが強すぎて……\n慢心してしまいそうです。,负责的偶像过于强大……\n都要让我得意忘形了。
message,美鈴,まあ……素敵。,哎呀……真不错。
message,美鈴,プロデューサー……どうぞ安心して、\n慢心して、油断しきっていてください。,制作人……请您尽管放心，\n尽管骄傲，尽管松懈吧。
message,美鈴,あなたのアイドルが負けることは、\n永遠に……ないのですから。,因为您培养的偶像，\n永远都……不会输。
info,adv_pstory_001_hmsz_after-audition-final-normal-01.txt,,
译者,Pro/deepseek-ai/DeepSeek-V3,,
