id,name,text,trans
0000000000000,{user},おかえりなさい、清夏さん。,欢迎回来，清夏。
0000000000000,清夏,ただいま♪,我回来啦♪
0000000000000,清夏,どーだった？　あたしのライブ！,怎么样？我的演出！
0000000000000,{user},素晴らしいライブでした。,非常精彩的演出。
0000000000000,清夏,サンキュ～♪,谢啦～♪
0000000000000,清夏,……けっこー緊張したんだけどね、\n前回のライブは、失敗しちゃったし。,……其实超级紧张的，\n因为上次的演出搞砸了嘛。
0000000000000,清夏,でも観客席からリーリヤの声が届いて、\n学園のみんなも、一緒だった。,但是听到莉莉娅从观众席传来的声音，\n学院的大家也都在支持我。
0000000000000,清夏,それを見たら、急に肩の力が抜けて、\n自然に踊れるようになったんだ。,看到这些的时候，突然就放松下来了，\n身体自然就能跳起舞来了。
0000000000000,清夏,自分でも、良いライブだったと思う。,我自己也觉得是场好演出呢。
0000000000000,{user},では、勝ちに行きましょうか。,那么，去赢得胜利吧。
0000000000000,清夏,……え？,……诶？
0000000000000,{user},『FINALE』ですよ。,是『FINALE』哦。
0000000000000,清夏,つ、ついに来たか～！,终、终于要来了吗～！
0000000000000,{user},白草さんは強敵です。\n巷では優勝候補と騒がれています。,白草是个强敌。\n街头巷尾都在传她是夺冠热门。
0000000000000,清夏,……え？\nあの子、そんなにすごいの？,……诶？\n那孩子真有那么厉害吗？
0000000000000,{user},ええ、実力は間違いありません。,是的，实力毋庸置疑。
0000000000000,清夏,あたし、そんなすごいアイドルに\n大見得きっちゃったってこと！？,我居然对这么厉害的偶像\n放出豪言壮语了！？
0000000000000,{user},あの白草さんに対して、\n『FINALE』で待ってるなんて……,对那位白草说出\n“在『FINALE』等着”这种话……
0000000000000,{user},感動しましたよ。\n清夏さんしか言えないでしょう。,真是令人感动。\n只有清夏你敢这么说吧。
0000000000000,清夏,マ、マジかぁ～！,真、真的假的～！
0000000000000,{user},ですが、白草さんには弱点がある。,不过白草有个弱点。
0000000000000,清夏,弱点？,弱点？
0000000000000,{user},ボーカル、ダンス、ビジュアル、\n何を取っても一級品ではありますが、,无论是歌唱、舞蹈还是形象，\n确实都是一流水准，
0000000000000,{user},おそらく彼女は、その才能を同時には\n発揮できない。,但恐怕她无法同时发挥\n所有这些才能。
0000000000000,清夏,何かに集中したら、\n他が疎かになる……ってコト？,就是说专注某方面时，\n其他方面就会疏忽……这样？
0000000000000,{user},その可能性が高いです。\n加えて言えば、彼女には驕りがある。,很有可能。\n再加上她有些傲慢。
0000000000000,{user},清夏さんを完璧に打ち負かすために、\nダンスに力を入れているようです。,为了完全击败清夏，\n她似乎把精力都放在了舞蹈上。
0000000000000,清夏,く、詳しいね？,哇，了解得真清楚？
0000000000000,{user},相手は優勝候補ですから。\n俺もできる限りのことはしますよ。,对方可是夺冠热门。\n我也会尽我所能的。
0000000000000,清夏,……ありがと、Pっち。,……谢谢，P君。
0000000000000,清夏,でも、ダンスで勝負してくるなら、\nあたし、負けるつもりないよ！,不过要是比舞蹈的话，\n我可没打算认输哦！
0000000000000,{user},その意気です。\nでは、引き続き頑張りましょう。,就是这股劲头。\n那么继续加油吧。
0000000000000,清夏,おっけー！,好嘞！
info,adv_dear_ssmk_017.txt,,
译者,Pro/deepseek-ai/DeepSeek-V3,,
