id,name,text,trans
0000000000000,手毬,プロデューサー。\n申し訳ありませんでした。,制作人……\n真的非常抱歉。
0000000000000,手毬,ここ一番で……\n絶対に負けてはいけない場面で……,在最关键的时刻……\n在绝对不能输的场合……
0000000000000,手毬,負けるのが……\n私、なんですよね。,却输掉比赛的人……\n偏偏是我呢。
0000000000000,手毬,大っ嫌い……！,最讨厌这样了……！
0000000000000,手毬,今日は、運命の分岐点だった気が\nするんです。,今天感觉就像是……\n人生的分岔路口。
0000000000000,手毬,もう、取り返しは\nつかないのかもしれません。,可能已经……\n无法挽回了。
0000000000000,手毬,自信なんて粉々で……一気に\n昔の自分に戻っちゃった気がします。,自信心碎了一地……\n感觉突然变回从前的自己了。
0000000000000,手毬,だけど……ここで諦めたら、\n私は私をもっと嫌いになってしまう。,但是……如果现在放弃的话，\n我一定会更加讨厌这样的自己。
0000000000000,手毬,やり直します。\nもう一度、最初から。,我要重新开始。\n从零开始，再来一次。
0000000000000,手毬,どうか、一緒にいて、ください……！,求求你……
info,adv_pstory_002_ttmr_after-audition-final-failure-01.txt,,
译者,Pro/deepseek-ai/DeepSeek-V3,,
