id,name,text,trans
0000000000000,{user},お疲れ様でした。藤田さんは……,辛苦了。藤田小姐她……
0000000000000,{user},合格です。素晴らしい結果でしたね。,合格了。真是出色的表现呢。
0000000000000,ことね,おぉ～っ！　プロデューサー！\n藤田ことね、やりましたぁ♪,哇啊～！制作人！\n藤田琴音，我做到了啦♪
0000000000000,{user},良いステージでした。,很棒的舞台表现。
0000000000000,ことね,えへへ～♡　もっと褒めてくれても\nいーんですよぉ？,欸嘿嘿～♡ 你可以\n再多夸我几句也没关系哦？
select,,収入大幅アップ\n間違いなしです,收入大幅提升\n毋庸置疑
select,,とてもよかったと\n思います,我觉得\n非常棒
select,,素晴らしい\nダンスでした,真是精彩的\n舞姿
0000000000000,ことね,うぇ～～～～～～～～～～い♪\nおカネだいしゅきぃ～～～～～♡,耶～～～～～～～～～～♪\n我最喜欢钱啦～～～～～♡
0000000000000,ことね,プロデューサーってば、\nあたしの喜ぶ台詞を心得てるぅ♪,制作人真是的，\n完全知道怎么说话让我开心呢♪
0000000000000,{user},今日一番の笑顔ですね。,这是今天最灿烂的笑容呢。
0000000000000,ことね,くふふふ、そりゃそーですよぉ♪\nなんたって、あたしの夢は――,呵呵呵呵，那当然啦♪\n毕竟我的梦想啊——
0000000000000,ことね,稼げるアイドルに成り上がって、\n大金持ちになること、ですからっ！！,就是要成为能赚钱的偶像，\n变成大富翁呀！！
0000000000000,ことね,この熱い想いを！　目の前のライブに！,把这炙热的心意！都倾注到
0000000000000,ことね,ちゃりちゃりちゃりーん♪　と、\nぶつけてきまーっす！,叮铃叮铃叮铃～♪\n全部爆发出来啦！
0000000000000,ことね,もぉ～、月並みな感想ぉ～。,真是的～好老套的感想哦～。
0000000000000,{user},このくらいはやってくれるだろうと\n信じていましたから。,因为我一直相信\n你至少能做到这种程度。
0000000000000,ことね,ふ、ふぅ～ん？　なら、いいですケド。,哼、哼～？那好吧。
0000000000000,ことね,それじゃあ、プロデューサーの\n予想をこえられるよーにぃ、,那我就要\n超越制作人的预期，
0000000000000,ことね,本番のライブも、\n頑張っちゃいますねぇ～っ♪,正式演出时\n也会全力以赴哦～♪
0000000000000,ことね,身体がいつもより軽くてぇ、\nいー感じに動けたんですよね♪,感觉身体比平时更轻盈，\n动作特别流畅呢♪
0000000000000,{user},それが『藤田ことね』の\n本来の実力です。,这才是\n“藤田琴音”真正的实力。
0000000000000,ことね,あたしの……本来の、実力。,我的……真正的实力。
0000000000000,{user},はい。これで、\n自分を信じられますか？,嗯。现在\n能相信自己了吗？
0000000000000,ことね,……正直、わかんないです。ずーっと\n誰からも期待されてなかったから。,……说实话，不知道。因为一直以来\n都没人对我抱有期待。
0000000000000,ことね,だから、いまはまだ……,所以现在还是……
0000000000000,ことね,自分じゃなくて、\nプロデューサーを信じます♪,与其相信我自己，\n不如相信制作人你吧♪
0000000000000,ことね,本番のライブでも、あたしは\n今日みたいに踊れるぞって！,正式演出时我也要\n像今天这样跳得超棒！
info,adv_pstory_001_fktn_after-audition-final-normal-02.txt,,
译者,Pro/deepseek-ai/DeepSeek-V3,,
