id,name,text,trans
0000000000000,ことね,うっわ、こっちのほう、\nガシャだらけ～～～～。,呜哇～这边简直被扭蛋机\n淹没啦～～～。
0000000000000,{user},もの凄い種類ですね。\n壮観というか……,种类也太丰富了吧。\n该说是壮观还是……
0000000000000,ことね,あたし\nやったことないんですよねぇ～。,其实人家\n从来没玩过这个呢～。
0000000000000,ことね,やってるところ見てみたいなァ～♪,好想看看别人玩的样子呀～♪
select,,やりましょう,来玩吧
select,,やめて\nおきましょう,还是别玩\n比较好吧
0000000000000,ことね,よろしくお願いしまぁす♪,那就拜托你啦♪
0000000000000,ことね,えーっ。\nどしてですかぁ？,诶～\n为什么呀？
0000000000000,{user},あたりはずれがありますからね。,因为有抽不到的风险嘛。
0000000000000,{user},コスパを考えたら、\n素直に買ったほうがいいです。,从性价比考虑的话，\n直接购买更划算。
0000000000000,ことね,確かにッ。\nちょーだいじです！,确实呢～\n超级重要的经验！
0000000000000,ことね,じゃあちびどものお土産、\nなんにしよっかなぁ～。,那给小朋友们的伴手礼\n选什么好呢～。
info,adv_pevent_001_fktn_activity_017-01.txt,,
译者,Pro/deepseek-ai/DeepSeek-V3,,
