id,name,text,trans
0000000000000,麻央,商店街に人がこんなにいるの、\n『N.I.A』って感じがします。,商业街居然有这么多人，\n真是很有『N.I.A』的感觉呢。
0000000000000,{user},麻央さんの力で、もっと盛り上げて\nください。さしあたって――,请借助麻央小姐的力量，\n让气氛更热烈些吧。首先——
select,,挨拶の\nスピーチです,做个简短的\n致辞
select,,1曲\n歌いましょう,唱\n一首歌
select,,手を振りながら\n1周します,边挥手边\n绕场一周
0000000000000,麻央,あのお立ち台で、ですよね。\nなんか、いつもより恥ずかしいです……,是要站在那个台子上对吧……\n总觉得比平时更让人害羞呢……
0000000000000,{user},麻央さんの登場で、黄色い悲鳴が\nあがった。ファンがいたみたいだ。,麻央小姐登场时响起了黄色尖叫，\n看来是有粉丝在场呢。
0000000000000,麻央,まだ、学外で歌うのは少し緊張\nしますけど……頑張ります！,在校外唱歌还是会有点紧张……\n但我会加油的！
0000000000000,{user},麻央さんの登場で、黄色い悲鳴が\nあがった。ファンがいたみたいだ。,麻央小姐登场时响起了黄色尖叫，\n看来是有粉丝在场呢。
0000000000000,麻央,みんな、振り返してくれると\n嬉しいなあ……,要是大家能回头看我……\n我会很开心的……
0000000000000,{user},麻央さんの登場で、黄色い悲鳴が\nあがった。ファンがいたみたいだ。,麻央小姐登场时响起了黄色尖叫，\n看来是有粉丝在场呢。
info,adv_pevent_002_amao_sales_2-002-02.txt,,
译者,Pro/deepseek-ai/DeepSeek-V3,,
