id,name,text,trans
0000000000000,あさり先生,ここまでのプロデュース、\nお疲れさま！,到目前为止的培育工作\n辛苦你了！
0000000000000,あさり先生,中間試験前、最後の追い込みですね。,期中考试前的最后冲刺阶段了呢。
0000000000000,あさり先生,ぐっと能力を伸ばせるチャンスなので、\nよく考えてレッスンをしましょう。,这是快速提升能力的绝佳机会，\n请认真考虑训练内容吧。
0000000000000,あさり先生,さて、\nなにを重点的にレッスンしますか？\n,那么，\n要重点训练哪个方面呢？
select,,ボーカルを\n重点的に,重点提升\n歌唱能力
select,,ダンスを重点的に,重点提升舞蹈能力
select,,ビジュアルを\n重点的に,重点提升\n视觉效果
0000000000000,あさり先生,歌声を届けることは、想いを\n届けることですからね！,因为传递歌声就是\n传递心意啊！
0000000000000,あさり先生,曲に合った素敵なダンスは、\n見る人を魅了しますからね！,因为与乐曲相配的优美舞姿\n最能打动观众呢！
0000000000000,あさり先生,魅せ方を考えることは、良い\nパフォーマンスにつながりますからね！\n,因为研究如何展现魅力\n能带来更出色的表演啊！
0000000000000,あさり先生,実のあるレッスンになるよう、\n頑張ってください。,希望你们能进行\n卓有成效的训练。
0000000000000,あさり先生,応援してますよ！,我会为你们加油的！
info,adv_pstory_001_cmmn_before-hard-mid-normal-01.txt,,
译者,Pro/deepseek-ai/DeepSeek-V3,,
