id,name,text,trans
0000000000000,{user},お疲れ様でした。姫崎さんは……,辛苦了。姬崎同学她……
0000000000000,{user},……不合格でした。,……落选了。
0000000000000,莉波,あ……,啊……
0000000000000,莉波,そ、そっかぁ……\n頑張ったんだけど、なぁ……,这、这样啊……\n明明已经很努力了，可是……
0000000000000,莉波,まだまだ努力、足りなかったね。\nごめん……なさい……,看来我还需要更加努力才行呢。\n对不起…………
select,,もう一度\nがんばりましょう,让我们\n再试一次吧
select,,まだチャンスは\nあります,机会\n还有的是
select,,少し緊張して\nしまいましたね,刚才似乎有点\n太紧张了呢
0000000000000,莉波,……う、ん……\nでも……,……嗯……\n可是……
0000000000000,{user},子供のころ、転んだ俺の手をとって、\n立ち上がらせてくれたのはあなたです。,小时候，在我跌倒时伸手拉我起来的，\n正是你啊。
0000000000000,莉波,……――。,……。
0000000000000,{user},まだ諦めていないのなら、もう一度、\nこの手をとってください。,如果你还没有放弃的话，\n请再次握住这只手吧。
0000000000000,莉波,……{user}くん。\nありがとう。,……{user}君。\n谢谢你。
0000000000000,莉波,お姉さんの私が、こんなところで\n弱音なんて吐いちゃだめだよね。,身为姐姐的我，在这种地方\n说丧气话可不行呢。
0000000000000,莉波,もう一度、挑戦してみるよ！,我会再挑战一次的！
0000000000000,{user},あなたの魅力が伝わるまで、\n何度でも挑戦しましょう。,直到让你的魅力被大家看见为止，\n无论多少次我都会陪你挑战。
0000000000000,莉波,う、ん……でも、また不合格だったら\nどうしよう……,嗯……可是，如果又落选了\n该怎么办啊……
0000000000000,莉波,一緒に試験受けた子たち、みんな\n私より歌もダンスもずっとできてて、,一起参加考试的孩子们，\n唱歌跳舞都比我强多了，
0000000000000,莉波,なんだか、自信なくしそう……,总觉得越来越没自信了……
0000000000000,{user},歌やダンスは練習すれば上達します。\nでも、あなたの魅力は――,歌舞都可以通过练习来提升。\n但你的魅力——
0000000000000,{user},決して替えのきかない、\nあなただけのものです。,是独一无二、\n只属于你的特质。
0000000000000,莉波,そ、そうかな……,真、真的吗……
0000000000000,{user},はい。あなたの魅力は、\n一番よくわかっているつもりです。,是的。我想我最了解\n你的魅力所在。
0000000000000,莉波,{user}くん……\nうん、わかったよ。,{user}君……\n嗯，我明白了。
0000000000000,莉波,きみの言葉を信じて、\nもう一度、挑戦してみるね。,相信你说的话，\n我会再挑战一次的。
0000000000000,莉波,……～っ！\nれ、練習ではちゃんとできてたのに、,……呜！\n明明练习时都表现得很好的，
0000000000000,莉波,ステージに立ったら、\n体が固くなっちゃって……,一站上舞台\n身体就僵硬了……
0000000000000,{user},次はもう少しリラックスして\n試験にのぞみましょう。,下次考试时\n试着放松一点吧。
0000000000000,莉波,……うん。\nでも、やっぱり緊張しちゃうよ。,……嗯。\n但还是会忍不住紧张啊。
0000000000000,莉波,前にユニットを組んでいた頃は、\nここまでじゃなかったんだけどなぁ。,以前组队活动的时候，\n明明不会这样的……
0000000000000,{user},以前は妹っぽいキャラを\n無理に演じていましたが、,因为你之前都在勉强自己\n扮演妹妹系角色，
0000000000000,{user},今は素のあなたを出していますから、\nそれは心持ちも変わってくるでしょう。,现在展现的是真实的你，\n心态自然也会有所不同。
0000000000000,莉波,ステージの上で素の自分を出すのって、\n初めてだったかも……,在舞台上展现真实的自己，\n可能还是第一次……
0000000000000,{user},まずは、そこからですね。普段から、\n自然体を心がけていきましょう。,就从这里开始改变吧。平时也要\n注意保持自然的状态。
0000000000000,莉波,うん、やってみるよ。\nよろしくね、{user}くん。,嗯，我会努力的。\n请多指教啦，{user}君。
info,adv_pstory_001_hrnm_after-audition-mid-failure-01.txt,,
译者,Pro/deepseek-ai/DeepSeek-V3,,
