id,name,text,trans
0000000000000,{user},お疲れ様でした、清夏さんは……,辛苦了，清夏小姐……
0000000000000,{user},合格です。最高の結果でしたね。,合格了。是最棒的结果呢。
0000000000000,清夏,ちょー楽しかったし、\n結果までいいとか、最高じゃん！,超——级开心！\n连结果都这么好，简直太完美啦！
select,,全てが最高でした,一切都是最棒的
select,,今こそ気を\n引き締めましょう,现在正是\n绷紧神经的时候
select,,感想を\n教えてください,请告诉我\n你的感想
0000000000000,清夏,Pっちもべた褒めじゃん。\nそんなに良かった？,制作人也夸得太夸张了吧。\n真的有这么好吗？
0000000000000,{user},とても。,非常棒。
0000000000000,清夏,へへっ、ありがと♪,嘿嘿，谢谢♪
0000000000000,{user},この最高の状態で、最高のライブを\n見せてください。,请用这个最佳状态，\n献上最棒的演出吧。
0000000000000,清夏,おっけ～♪\nあたしの最高のステージ、見せたげる！,OK～♪\n让你见识下我最棒的舞台！
0000000000000,清夏,やっぱお堅いなぁ～、Pっちは。,制作人果然还是这么一板一眼呢～
0000000000000,清夏,大丈夫だって！\n今のあたしは、無敵だし？,没问题的！\n现在的我可是无敌的哦？
0000000000000,清夏,ライブだって、今日のパフォーマンス\n以上にしてみせるからさ♪,演唱会什么的，\n绝对会比今天表现得更出色啦♪
0000000000000,清夏,……今、ステージに立てるのが\n嬉しくて、楽しいんだ。,……现在光是能站在舞台上，\n就让我开心得不得了。
0000000000000,清夏,だから、絶対に失敗なんかしない。,所以绝对不会失败的。
0000000000000,清夏,安心して見ててよ、Pっち♪,就放心看着我吧，制作人♪
0000000000000,清夏,感想？　そんなの決まってるじゃん。,感想？这不是明摆着的嘛。
0000000000000,清夏,サイッコーに、楽しかったっ！！,超级——无敌开心！！
0000000000000,{user},……ライブも、問題なさそうですね。,……看来演唱会也没问题呢。
0000000000000,清夏,そんなのトーゼン！,那当然啦！
0000000000000,清夏,今までにないくらいのパフォーマンス\n見せたげるから♪,我会展现出\n前所未有的表演哦♪
0000000000000,{user},頼もしいです。,真可靠啊。
0000000000000,清夏,あはは、でしょ？,啊哈哈，对吧？
0000000000000,清夏,Pっちも、あたしのライブ\n楽しんでってね♪,制作人也要好好享受\n我的演出哦♪
info,adv_pstory_001_ssmk_after-audition-final-normal-01.txt,,
译者,Pro/deepseek-ai/DeepSeek-V3,,
