id,name,text,trans
0000000000000,清夏,ラジオ人生相談のやつ、\n相談内容の予習していいんだって。,广播人生咨询这个环节，\n说可以提前预习咨询内容呢。
0000000000000,清夏,どれどれ……『仲の良かった友達に\n勉強で置いていかれてしまいました』,让我看看……“曾经要好的朋友\n在学业上超越了我”……
0000000000000,清夏,……これ選んだのPっち？\nもー、なんて答えようかな……,……这案例是制作人选的吗？\n唔～该怎么回答才好呢……
select,,あくまで\n前向きに,总之要保持\n积极态度
select,,誠心誠意\n答えてください,请用真诚的\n心意来回答
select,,素直な\n気持ちを,请坦率表达\n你的想法
0000000000000,清夏,そーだよね。応援してるって\n気持ちを伝えよっと。,说得对。要把支持的心情\n好好传达出去才行。
0000000000000,{user},相談者は清夏さんのコメントに\n感銘を受けたようだ……よかった。,咨询者似乎被清夏的点评\n深深打动了……太好了。
0000000000000,清夏,……やっぱこれ、\nPっちが選んだっしょ。,……果然这个案例\n是制作人选的吧。
0000000000000,{user},相談者は清夏さんのコメントに\n感銘を受けたようだ……よかった。,咨询者似乎被清夏的点评\n深深打动了……太好了。
0000000000000,清夏,……ん、わかった。\n素直にね。,……嗯，明白了。\n我会坦率表达的。
0000000000000,{user},相談者は清夏さんのコメントに\n感銘を受けたようだ……よかった。,咨询者似乎被清夏的点评\n深深打动了……太好了。
info,adv_pevent_002_ssmk_sales_2-004-01.txt,,
译者,Pro/deepseek-ai/DeepSeek-V3,,
