id,name,text,trans
0000000000000,莉波,おはようございますっ！,早上好！
select,,ドリンクをどうぞ,请用饮料
select,,おはよう\nございます！,早上\n好！
0000000000000,莉波,{user}くん、\nわざわざありがとう。,{user}君\n特意过来谢谢你呀。
0000000000000,莉波,いつもは水筒持ってきてるんだけど、\n今日は忘れちゃって……,平时都带着水壶的\n今天不小心忘记了……
0000000000000,{user},水分補給だけは、\n決して怠らないでください。,只有水分补充\n请千万不要懈怠。
0000000000000,莉波,はいっ、わかりました！,好的，明白啦！
0000000000000,莉波,ふふっ、{user}くん\nなんだか元気だね。,嘿嘿，{user}君\n总觉得你今天特别有精神呢。
0000000000000,莉波,元気な挨拶って、されたほうも\n元気をもらえちゃうよね。,充满活力的问候\n连带着让对方也能获得元气呢。
0000000000000,莉波,{user}くんから\nもらった元気でもっともっと、\n頑張れそう！,从{user}君那里\n获得的活力让我觉得\n能更加更加努力！
0000000000000,莉波,今日もプロデュース、\nよろしくね♪,今天的偶像培育\n也请多关照啦♪
info,adv_pstory_001_hrnm_opening-true-01.txt,,
译者,Pro/deepseek-ai/DeepSeek-V3,,
