id,name,text,trans
0000000000000,リーリヤ,……わたしなんかが、人生相談に\n答えられるでしょうか。,……像我这样的人，真的能\n帮别人解答人生烦恼吗？
0000000000000,{user},あまり気負いすぎないでください。\n練習してみましょうか。,不用太紧张。\n我们先练习一下吧？
select,,『スウェーデンに\n旅行したい』,「想去瑞典\n旅行」
select,,『アイドルに\nなりたい』,「想成为\n偶像」
select,,『目玉焼きを\n失敗する』,「煎荷包蛋\n总是失败」
0000000000000,リーリヤ,え、えっと……おすすめは、\nゴットランド島……です。,那、那个……推荐你去\n哥特兰岛……
0000000000000,{user},つっかえるところもあったが、\nうまく悩みに答えられていた。,虽然有些结巴，\n但很好地解答了烦恼呢。
0000000000000,リーリヤ,おっ、応援します……！\nわたしも、同じだから。,加、加油……！\n因为我也是一样的情况。
0000000000000,{user},つっかえるところもあったが、\nうまく悩みに答えられていた。,虽然有些结巴，\n但很好地解答了烦恼呢。
0000000000000,リーリヤ,それは……やっぱり、練習するしかない\nですよね……？,果然……还是只能\n多练习对吧……？
0000000000000,{user},つっかえるところもあったが、\nうまく悩みに答えられていた。,虽然有些结巴，\n但很好地解答了烦恼呢。
info,adv_pevent_002_kllj_sales_2-004-01.txt,,
译者,Pro/deepseek-ai/DeepSeek-V3,,
