id,name,text,trans
0000000000000,広,……あのね、プロデューサー。,……那个，制作人。
0000000000000,広,こんなにアイドルには向いていない\nわたしなのに。,明明我这么不适合\n当偶像的。
0000000000000,広,最近のわたしは……\nちゃんと、歌って、踊れてる。,最近的我……\n已经能好好唱歌跳舞了。
select,,お祝いをしないと\nいけませんね\n,不庆祝一下可不行呢\n
select,,次の試練が\n待っていますよ,下一个挑战\n正在等着哦
0000000000000,広,……わ。,……哇。
0000000000000,広,ありがとう、プロデューサー。\n宝物に、するね。,谢谢你，制作人。\n我会把它当作珍宝的。
0000000000000,{user},どうか、ちゃんと活用してください。,请一定要好好使用它。
0000000000000,広,ふふ……考えておく。,呵呵……我会考虑的。
0000000000000,広,ああ……それは、とっても……\nとっても……,啊……这真是，非常……\n非常……
0000000000000,広,……嬉しい。,……开心。
info,adv_pstory_001_shro_opening-true-01.txt,,
译者,Pro/deepseek-ai/DeepSeek-V3,,
