id,name,text,trans
0000000000000,{user},今日はヨガの体験動画の撮影です。,今天是瑜伽体验视频的拍摄日。
0000000000000,莉波,うん。学園外の先生のレッスン、\nちょっと楽しみだったんだ。,嗯。能体验校外老师的课程，\n我其实有点期待呢。
select,,楽しんで体験\nしてきてください,请尽情体验\n并享受吧
select,,いい勉強にも\nなりそうですね,看起来也能成为\n很好的学习机会呢
select,,トレーナーより\n厳しいかも,说不定比训练师\n更严格哦
0000000000000,莉波,うん！　私が楽しくやってたら、\n見た人もやりたいって思えるもんね。,嗯！如果我练得开心的话，\n观众们也会想尝试吧。
0000000000000,{user},有意義なレッスンだったな！,真是很有收获的一节课呢！
0000000000000,莉波,うん、せっかくの機会だから\n今後に活かせるようにがんばるね！,嗯，难得的机会\n我会努力活用到今后的活动中！
0000000000000,{user},有意義なレッスンだったな！,真是很有收获的一节课呢！
0000000000000,莉波,そうなの……？\nじゃあ気合を入れてがんばらないと！,真的吗……？\n那我更要打起精神加油了！
0000000000000,{user},有意義なレッスンだったな！,真是很有收获的一节课呢！
info,adv_pevent_002_hrnm_sales_3-004-01.txt,,
译者,Pro/deepseek-ai/DeepSeek-V3,,
