id,name,text,trans
0000000000000,{user},今日は、天川観光大使就任イベントに\n登壇していただきます。,今天，你将在天川观光大使\n的就任活动中登台。
0000000000000,ことね,はーい！　\n観光大使ことねちゃん、がんばります！,好的～！\n观光大使琴音会加油的！
0000000000000,ことね,でもそのまえに質問！　イベントでは、\nどんな話をしたらいいと思います？,不过在开始前有个问题！\n您觉得活动中我该介绍什么内容比较好呢？
select,,観光スポットの\n紹介,介绍\n观光景点
select,,行きたい場所\nの紹介,介绍\n想去的地方
select,,よく行く場所の\n紹介,介绍\n常去的地方
0000000000000,ことね,えっとぉ、遊園地とかスパリゾートとか\nおすすめですっ！,那个……像游乐园和温泉度假村\n都很推荐哦！
0000000000000,{user},よし、天川の魅力を\nしっかり伝えられたな。,很好，充分传达了\n天川的魅力呢。
0000000000000,ことね,えと……水族館とか、映画館とかぁ……\n行きたいなぁ～って♪,还有……水族馆啊，电影院之类的……\n好想去玩呀～♪
0000000000000,{user},よし、天川の魅力を\nしっかり伝えられたな。,很好，充分传达了\n天川的魅力呢。
0000000000000,ことね,バイトしてたお店とか？\nおすすめメニューもありますよっ！,要介绍我之前打工的店吗？\n还有推荐菜单可以介绍哦！
0000000000000,{user},よし、天川の魅力を\nしっかり伝えられたな。,很好，充分传达了\n天川的魅力呢。
info,adv_pevent_002_fktn_sales_2-003-01.txt,,
译者,Pro/deepseek-ai/DeepSeek-V3,,
