id,name,text,trans
0000000000000,あさり先生,葛城さんの出身地、スウェーデン\nについて学びましょう。,我们来学习一下葛城同学的故乡\n瑞典的相关知识吧。
0000000000000,あさり先生,日本に比べて緯度が高い国です。\n北の方は北極圏に含まれるほど。,和日本相比是个纬度很高的国家。\n北部甚至包含在北极圈内。
0000000000000,あさり先生,そんなところでは、日本ではありえない\n現象が起きるんですよ。,在那样的地方会发生一些\n日本完全无法想象的自然现象哦。
0000000000000,あさり先生,さて、スウェーデンで起きる\n『極夜』という自然現象。,那么来说说瑞典会出现的\n一种叫“极夜”的自然现象。
0000000000000,あさり先生,いったいどういうものか、\nわかりますか？,你们知道这具体是\n什么样的现象吗？
select,,昼も\n太陽が昇らない,白天也\n看不到太阳
select,,夜も\n太陽が沈まない,夜晚也\n太阳不落下
select,,S極とN極が\n入れ替わる,地磁S极和N极\n发生反转
0000000000000,あさり先生,はい、その通りです！\nすごいですよ～！,没错，答对啦！\n好厉害啊～！
0000000000000,あさり先生,地球の軸が太陽に対して傾いている\nことから起きる現象です。,这是地球自转轴相对于太阳\n倾斜而产生的现象。
0000000000000,あさり先生,極夜は、北極か南極に近づけば\n近づくほど長くなります。,越靠近北极或南极，\n极夜的持续时间就越长。
0000000000000,あさり先生,1ヶ月以上も夜のまま……\nなんて、想像できませんよね。,持续一个多月都是夜晚……\n真是难以想象呢。
0000000000000,あさり先生,体験したことがあるか、\n葛城さんに聞いてみては？,要不要问问葛城同学\n有没有亲身经历过？
0000000000000,あさり先生,おしい！　そっちは白夜と言います！,可惜！那个叫做“白夜”哦！
0000000000000,あさり先生,『太陽が昇らない』のが極夜。\n『太陽が沈まない』のが白夜。,『太阳不升起』是极夜，\n『太阳不落下』是白夜。
0000000000000,あさり先生,他にもスウェーデンには日本との\n違いがたくさんあります。,瑞典和日本之间\n还有很多其他差异呢。
0000000000000,あさり先生,興味があったら、\n調べてみてはどうでしょう？,感兴趣的话\n可以自己去查查看？
0000000000000,あさり先生,そんなことが起きたら\nみんな大混乱ですよ。,要真发生那种事\n大家都会乱成一团啦。
0000000000000,あさり先生,正解は『昼も太陽が昇らない』です。,正确答案是『白天也看不到太阳』。
0000000000000,あさり先生,反対に『夜も太陽が沈まない』ことを\n白夜と言います。,相反地『夜晚太阳不落下』\n的现象叫做白夜。
0000000000000,あさり先生,スウェーデン語だと、\nきれいな言い方があるんですけど……,用瑞典语说的话\n有个很美的说法来着……
0000000000000,あさり先生,忘れちゃいました♪,我忘记啦♪
0000000000000,あさり先生,葛城さんなら知ってるかも\nしれませんね。,说不定葛城同学\n会知道呢。
info,adv_pevent_001_kllj_school_010.txt,,
译者,Pro/deepseek-ai/DeepSeek-V3,,
