id,name,text,trans
0000000000000,広,子どもたちとの体操教室、懸念がある。,和孩子们一起上体操课，我有点担心。
0000000000000,広,わたしはきっと、無尽蔵な体力を持つ\n子どもたちを相手しきれない。,我肯定应付不了那些\n精力无限的小孩子们。
0000000000000,広,素直に体操をしてくれなかったら……\nどうしよう。,要是他们不肯乖乖做体操的话……\n该怎么办啊。
select,,体操したくなる\nように誘導を,想办法引导他们\n主动想做体操
select,,誘導はこちらで\nどうにかします,引导工作就交给我\n来想办法吧
select,,親御さんに協力を\nお願いしましょう,请家长协助\n一起参与
0000000000000,広,なにか、ご褒美をあげるとか……？\n考えてみる。,要不准备些小奖励之类的……？\n我会考虑看看。
0000000000000,{user},なんとか、体力が尽きる前に\n体操を終えられたか……,总算赶在体力耗尽前\n把体操课撑完了……
0000000000000,広,プロデューサーが、頼もしい。\nじゃあ、わたしは体操をがんばる。,制作人真是可靠。\n那我会努力做好体操教学的。
0000000000000,{user},なんとか、体力が尽きる前に\n体操を終えられたか……,总算赶在体力耗尽前\n把体操课撑完了……
0000000000000,広,なるほど、それならきっと\n話を聞いてくれるはず。,原来如此，这样的话\n他们应该会听话的。
0000000000000,{user},なんとか、体力が尽きる前に\n体操を終えられたか……,总算赶在体力耗尽前\n把体操课撑完了……
info,adv_pevent_002_shro_sales_2-005-01.txt,,
译者,Pro/deepseek-ai/DeepSeek-V3,,
