id,name,text,trans
0000000000000,{user},（そろそろ、\n　葛城さんの様子を見に行こう）,（差不多该去看看\n　葛城小姐的情况了）
0000000000000,リーリヤ,ターンの後も軸はしっかり、\nこのまま最後のポーズまで……！,转身后轴心依然很稳，\n就这样保持到最后ending pose……！
0000000000000,リーリヤ,はぁ……はぁ……。できたぁ……,哈啊……哈啊……做到了……
0000000000000,{user},お疲れ様です。,辛苦了。
0000000000000,リーリヤ,……あ、センパイ。\n来てくれてたんですね。,……啊、前辈。\n原来您一直在看着啊。
0000000000000,リーリヤ,あの……\nい、今の、どうでしたか？,那个……\n刚、刚才的表演怎么样？
select,,驚きました,让我很惊讶
select,,上手く\nなりましたね,进步\n很大呢
select,,まだまだですね,还差得远呢
0000000000000,{user},ハードなダンスなので、\n踊れるようになるのはまだ先かと……,因为是高强度的舞蹈，\n我以为你还要过段时间才能完整跳下来……
0000000000000,リーリヤ,えへへ……。踊りきることを、\n目標にしていたんです……。,嘿嘿……我的目标就是\n要能完整跳下来……
0000000000000,リーリヤ,でも、だいぶ息切れしちゃって……。,不过跳完还是气喘吁吁的……
0000000000000,{user},やはり、努力も才能の1つ……ですね。,果然努力也是一种才能呢……
0000000000000,リーリヤ,あ、ありがとうございます……！,啊，谢谢您……！
0000000000000,リーリヤ,わたしには、\n頑張ることしかできないけど――,虽然我能做到的\n就只有拼命努力这件事——
0000000000000,リーリヤ,それだけは、誰にも負けません！,但唯独这点，我绝不会输给任何人！
0000000000000,リーリヤ,……わたしなんか、まだまだです。\nだけど、それでも――,……像我这样的还远远不够。\n但是即便如此——
0000000000000,リーリヤ,毎日、昨日のわたしを\n越えられるようになりました。,现在的我每天都能\n超越昨天的自己了。
0000000000000,{user},葛城さんから\nポジティブな言葉が出てくるとは……,没想到会从葛城小姐口中\n听到这么积极的话……
0000000000000,{user},心身ともに、成長したようですね。,看来身心都成长了不少呢。
0000000000000,リーリヤ,そ、そうでしょうか……？,真、真的吗……？
0000000000000,リーリヤ,……不思議です。センパイに\n褒められると、疲れが消えちゃいます。,……好神奇。被前辈夸奖后\n疲劳感一下子就消失了。
0000000000000,リーリヤ,や、やっぱりそうですよね……。,果、果然是这样呢……
0000000000000,{user},今の葛城さんなら、\n次のステップに進めるでしょう。,以现在的葛城小姐来说，\n应该能进入下一阶段了。
0000000000000,{user},これからは、\n講評も少し厳しくいきますよ？,从今往后\n我的点评会稍微严格些哦？
0000000000000,リーリヤ,は、はい……！,好、好的……！
0000000000000,リーリヤ,どんなに厳しくても、\n大変でも、絶対について行きます。,不管多么严格，\n多么辛苦，我都一定会跟上的。
0000000000000,{user},……そこまで追い込む気はないので、\nストイックすぎる練習はしないように。,……倒不必把自己逼得太紧，\n别进行太过严苛的练习。
0000000000000,リーリヤ,え……。で、でも、ステップアップ\nするなら今のままじゃ……,诶……但、但是要想提升水平\n现在这样还不够……
0000000000000,{user},葛城さん？,葛城小姐？
0000000000000,リーリヤ,うぅ……ぜ、善処します……。,呜……我、我会注意分寸的……。
info,adv_pstory_001_kllj_after-step-1-normal-01.txt,,
译者,Pro/deepseek-ai/DeepSeek-V3,,
