id,name,text,trans
0000000000000,手毬,脱出ゲームのPR動画撮影とは、\n聞いていましたけど……,虽然听说过要拍密室逃脱的宣传视频……\n
0000000000000,手毬,なんでわざわざ、\n夜の遊園地でやるんですか！？,但为什么非要选在\n夜晚的游乐园拍啊！？
0000000000000,手毬,お、お化け屋敷とかもあるのに……！,这、这里还有鬼屋什么的……！
select,,怖いですか？,你害怕吗？\n
select,,中には入らないと\n思いますよ,我想应该\n不会进去的\n
select,,チームの人も\nいますから,团队其他人\n也都在呢\n
0000000000000,手毬,わ、私は平気ですけど……\n他の子が大丈夫か心配だなって……,我、我是没关系啦……\n就是担心其他孩子能不能撑住……
0000000000000,{user},なんとか、無事撮影が終わったか……,总算是……平安拍完了吧……
0000000000000,手毬,近くを通ることはあるってこと？\nそこ、聞いてきてください……！,你说偶尔会经过那边？\n快去打听清楚啊……！
0000000000000,{user},なんとか、無事撮影が終わったか……,总算是……平安拍完了吧……
0000000000000,手毬,他の人に、おばけが嫌なんて\n言えるわけないじゃないですか……！,怎么可能跟别人说\n我怕鬼这种事啊……！
0000000000000,{user},なんとか、無事撮影が終わったか……,总算是……平安拍完了吧……
info,adv_pevent_002_ttmr_sales_1-006-01.txt,,
译者,Pro/deepseek-ai/DeepSeek-V3,,
