id,name,text,trans
0000000000000,{user},月村さん、オーディションの\n結果が出ました。,月村同学，试镜的\n结果出来了。
0000000000000,{user},合格です。,恭喜你合格了。
0000000000000,手毬,……そ、そうですか。,……这、这样啊。
0000000000000,手毬,まぁ、いけると思ってましたけどね。,嘛，我本来就觉得能通过就是了。
0000000000000,{user},上位のアイドルたちに、\nあやうく蹴散らされるところでしたね。,差点就被那些顶级偶像们\n打得落花流水了呢。
0000000000000,手毬,はい出た！　イヤミ！！,又来！阴阳怪气！！
0000000000000,手毬,ほんっと性格悪い……！,性格真的太恶劣了……！
0000000000000,手毬,なんでいつもそうやって、私の台詞を\nわざわざ蒸し返してくるの！？,为什么你每次都要特意\n把我以前说的大话翻出来说啊！？
0000000000000,手毬,心が傷ついたんですけど！,我的心被伤害到了啦！
0000000000000,{user},大言壮語したならば、きちんと\nステージで圧倒してください。,既然夸下海口了，就请在舞台上\n真正展现出压倒性的实力吧。
0000000000000,{user},あなたは月村手毬なんですから。,因为你可是月村手毬啊。
0000000000000,手毬,……また、そうやって……\nぐさっと刺さることを言う。,……又来了……\n总是说这种戳心窝的话。
0000000000000,手毬,次は圧倒します。,下次我会碾压全场的。
0000000000000,手毬,圧倒できるように……鍛え直します！,为了能完全碾压……我会重新特训！
0000000000000,手毬,ハードなトレーニングメニューを\nお願いしますね、プロデューサー。,请给我安排最严苛的训练菜单吧，\n制作人先生。
info,adv_pstory_002_ttmr_after-audition-b-normal-03.txt,,
译者,Pro/deepseek-ai/DeepSeek-V3,,
