id,name,text,trans
0000000000000,麻央,ワン、ツー、スリー。\nワン、ツー、スリー。,一、二、三。\n一、二、三。
0000000000000,麻央,あ、プロデューサー。\nお疲れ様です！,啊，制作人。\n辛苦啦！
0000000000000,{user},次のオーディションに向けての準備は、\n順調なようですね。,看来为下次试镜做的准备\n进展很顺利呢。
0000000000000,麻央,ふふっ、任せてください。,呵呵，交给我吧。
0000000000000,麻央,カッコいいボクも、可愛いボクも――,无论是帅气的我，还是可爱的我——
0000000000000,麻央,ボクらしく、\n存分に披露してみせますよ。,我都会尽情展现\n属于我的独特魅力哦。
0000000000000,麻央,今のボク、絶好調です！,现在的我状态绝佳！
0000000000000,{user},（……よかった。本当に。\n今の麻央さんは――）,（……太好了。真的。\n现在的麻央小姐——）
0000000000000,{user},（自分自身のことを、\n好きになってくれたみたいだ）,（似乎终于开始\n喜欢上自己了呢）
0000000000000,麻央,そんなわけで、プロデューサー。,所以呢，制作人。
0000000000000,麻央,仕事もライブもオーディションも、\nどんどん振ってください。,不管是工作、演出还是试镜，\n尽管安排给我吧。
0000000000000,麻央,きっと期待に応えてみせますよ。,我一定会回应你的期待。
0000000000000,{user},頼もしいですね。,真是可靠呢。
0000000000000,{user},では、ここからはステージの場数を\n踏むことに注力しましょう。,那接下来我们就专注于\n积累舞台经验吧。
0000000000000,麻央,……そうですね。ボク、ずっと\nステージとは無縁だったから、,……是啊。毕竟我一直以来\n都和舞台无缘，
0000000000000,麻央,少しでも経験を積んでおきたいです。,想要尽可能多积累些经验呢。
0000000000000,{user},ちょうど近々、大型オーディションが\n開催されます。,正好最近要举办\n大型试镜活动。
0000000000000,{user},成長めざましい麻央さんが、\n一気に飛躍できるチャンスかと。,对于进步神速的麻央小姐来说，\n这会是个飞跃的好机会。
0000000000000,麻央,ふふっ、望むところです。,呵呵，正合我意。
0000000000000,麻央,楽しみにしていますよ、\nプロデューサー。,我很期待哦，\n制作人。
0000000000000,黒井,クックック……。\nハーッハハ！,咯咯咯……\n哈——哈哈！
0000000000000,黒井,ついに来たのだ。我が極月学園が\n初星学園を蹂躙するときが！,终于到了这一刻！我极月学园\n践踏初星学园的时刻！
0000000000000,黒井,四音、ここに呼ばれた意味はわかるな？,四音，知道为什么叫你来吗？
0000000000000,四音,ええ、私が初星学園の生徒を\n血祭りにあげればいいのでしょう？,嗯，是要我用初星学园学生的血\n来献祭对吧？
0000000000000,四音,……月花姉様には声を？,……需要通知月花姐姐吗？
0000000000000,黒井,いいや、<r\=プリマステラ>一番星</r>が出てこない以上、\n月花を呼び戻すまでもない。,不用，既然他们的一等星没现身，\n就没必要召回月花。
0000000000000,黒井,それに……やつらを潰すための策は、\nすでに打ってある。,而且……击溃他们的计策\n早已布下。
0000000000000,黒井,四音。極月学園の力を、あの無能どもに\n思い知らせてやるのだ。いいな？,四音。就用极月学园的实力\n让那群无能之辈认清现实吧。明白吗？
0000000000000,四音,承知しました、理事長。,遵命，理事长。
0000000000000,四音,愚かな初星の連中は、この白草四音が\n始末してみせましょう。,愚蠢的初星众人，就由我白草四音\n来亲手解决吧。
info,adv_dear_amao_010-01.txt,,
译者,Pro/deepseek-ai/DeepSeek-V3,,
