id,name,text,trans
0000000000000,広,負けちゃった。,输了……
0000000000000,{user},全然手を抜いてくれませんでしたね。,完全不肯手下留情呢。
0000000000000,広,わたし、知ってるよ。,我知道的。
0000000000000,広,プロデューサーが\nリベンジしてくれるって。,制作人\n会帮我报仇的吧。
select,,リベンジ\nしましょう,来复仇吧
select,,戦略的撤退を,战略性撤退
0000000000000,{user},いてて……\nなんとか勝ちましたよ。,痛痛……\n总算赢了呢。
0000000000000,広,おお。\nプロデューサー、すごい。,哇。\n制作人好厉害。
0000000000000,{user},リベンジですから、\n負けられません。,因为是复仇战\n所以不能输。
0000000000000,{user},これ、どうぞ。\nお菓子セットだそうです。,这个给你。\n据说是点心套装。
0000000000000,広,プロデューサーが勝ったのに。,明明是制作人赢了……
0000000000000,{user},ひとりでは食べきれませんから。\nお友達と分けてください。,我一个人也吃不完。\n请和朋友们一起分享吧。
0000000000000,広,……じゃあ、プロデューサーと\nはんぶんこがいい。,……那我想和制作人\n对半分着吃。
0000000000000,広,……プロデューサー。\n大丈夫？,……制作人。\n没事吧？
0000000000000,{user},だ、大丈夫です……\n少し腕がつっただけで。,没、没事……\n只是手臂有点抽筋。
0000000000000,広,ごめんなさい。\nわたしが、けしかけたから。,对不起。\n都是因为我怂恿你。
0000000000000,{user},篠澤さんのためでしたから、\n勲章のようなものですよ。,因为是篠泽小姐的事\n这就像是勋章一样哦。
0000000000000,広,ありがとう。\n負けちゃっても、嬉しい。,谢谢。\n就算输了也很开心。
0000000000000,{user},アイドルとプロデューサーが\n同時に負けてはイメージが悪いです。,偶像和制作人\n同时输掉的话影响不太好呢。
0000000000000,{user},特にリベンジ失敗などすれば、\n永遠にネットに残りますよ。,特别是如果复仇失败的话\n会永远留在网络上的哦。
0000000000000,広,すごくもっともらしい。\n熱く語るね。,说得超有道理。\n讲得这么热血啊。
0000000000000,広,……そんなことに、なるかな？,……真的会变成那样吗？
info,adv_pevent_001_shro_activity_018-02.txt,,
译者,Pro/deepseek-ai/DeepSeek-V3,,
